% 1. Title: NERD ranker with basic and embeddings features 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 23-11-2018 10:59:33 
%
@RELATION @NERD_NERD_ranker_with_basic_and_embeddings_features 
@attribute prob_c REAL
@attribute relatedness REAL
@attribute context_quality REAL
@attribute nerKid_type {NotNER, ACRONYM, ANIMAL, ARTIFACT, AWARD, BUSINESS, CONCEPT, CONCEPTUAL, CREATION, EVENT, IDENTIFIER, INSTALLATION, INSTITUTION, LEGAL, LOCATION, MEASURE, MEDIA, NATIONAL, ORGANISATION, PERIOD, PERSON, PERSON_TYPE, PLANT, SPORT_TEAM, SUBSTANCE, TITLE, WEBSITE, OTHER}
@attribute bestCaseContext {false, true}
@attribute embeddings_centroid_similarity REAL
@attribute entity? REAL

@data
0.34375,0.19989633921905695,10.116133626591509,OTHER,true,38.00053,0.0
0.9872611464968153,0.30276530389330997,10.116133626591509,OTHER,false,0.0,1.0
0.08108108108108109,0.0,10.116133626591509,LOCATION,true,0.0,0.0
0.9940688018979834,0.3604912051362621,10.116133626591509,OTHER,false,0.0,1.0
0.27927927927927926,0.0,10.116133626591509,CREATION,true,13.29576,0.0
0.40229885057471265,0.25928244883121115,10.116133626591509,OTHER,true,0.0,1.0
0.367816091954023,0.034376209339465516,10.116133626591509,CREATION,true,50.972584,0.0
0.678082191780822,0.3228194485581747,10.116133626591509,OTHER,false,68.08768,1.0
0.19444444444444445,0.0,10.116133626591509,CREATION,true,35.171356,0.0
0.8888888888888888,0.27910162015882833,10.116133626591509,OTHER,true,65.101974,1.0
