% 1. Title: NERD ranker with basic features 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 05-12-2018 18:02:00 
%
@RELATION @NERD_NERD_ranker_with_basic_features 
@attribute prob_c REAL
@attribute nerGrobid_type {NotNER, ACRONYM, ANIMAL, ARTIFACT, AWARD, BUSINESS, CONCEPT, CONCEPTUAL, CREATION, EVENT, IDENTIFIER, INSTALLATION, INSTITUTION, LEGAL, LOCATION, MEASURE, MEDIA, NATIONAL, ORGANISATION, PERIOD, PERSON, PERSON_TYPE, PLANT, SPORT_TEAM, SUBSTANCE, TITLE, WEBSITE, UNKNOWN}
@attribute entity? REAL

@data
0.5036496350364964,UNKNOWN,1.0
0.40875912408759124,UNKNOWN,0.0
0.4114977307110439,UNKNOWN,1.0
0.7672413793103449,UNKNOWN,0.0
0.8909090909090909,ORGANISATION,1.0
0.07832167832167833,ORGANISATION,0.0
0.45981424791158615,CONCEPT,1.0
0.3579273249277919,CONCEPT,0.0
0.5068192506662487,UNKNOWN,1.0
0.43596174949051575,UNKNOWN,0.0
0.9107142857142857,UNKNOWN,1.0
0.08283730158730158,UNKNOWN,0.0
0.1111111111111111,UNKNOWN,1.0
0.07854406130268199,UNKNOWN,0.0
0.391304347826087,PERSON,1.0
0.17391304347826086,PERSON,0.0
0.8033707865168539,LOCATION,1.0
0.1556179775280899,LOCATION,0.0
0.9333333333333333,UNKNOWN,1.0
0.06666666666666667,UNKNOWN,0.0
0.4318181818181818,PERSON,1.0
0.22727272727272727,PERSON,0.0
0.8087431693989071,PERSON,1.0
0.08196721311475409,PERSON,0.0
0.21428571428571427,PERSON,1.0
0.6666666666666666,UNKNOWN,0.0
0.6737864077669903,UNKNOWN,1.0
0.06796116504854369,UNKNOWN,0.0
0.5065666041275797,UNKNOWN,1.0
0.16322701688555347,UNKNOWN,0.0
0.08408408408408409,UNKNOWN,1.0
0.018018018018018018,UNKNOWN,0.0
0.38823529411764707,PERSON,1.0
0.16322701688555347,UNKNOWN,0.0
0.6737864077669903,UNKNOWN,1.0
0.06796116504854369,UNKNOWN,0.0
0.8400702987697716,UNKNOWN,1.0
0.061511423550087874,UNKNOWN,0.0
0.6,UNKNOWN,1.0
0.058823529411764705,UNKNOWN,0.0
0.8518518518518519,UNKNOWN,1.0
0.07407407407407407,UNKNOWN,0.0
0.35977859778597787,UNKNOWN,1.0
0.22140221402214022,UNKNOWN,0.0
0.8666666666666667,UNKNOWN,1.0
0.06666666666666667,UNKNOWN,0.0
0.4869072894550602,UNKNOWN,1.0
0.05128205128205128,CONCEPT,0.0
0.07581227436823104,UNKNOWN,1.0
0.12987012987012986,UNKNOWN,0.0
0.6801089918256131,UNKNOWN,1.0
0.17983651226158037,UNKNOWN,0.0
0.6899328859060403,UNKNOWN,1.0
0.2610738255033557,UNKNOWN,0.0
0.9183673469387755,UNKNOWN,1.0
0.061224489795918366,UNKNOWN,0.0
0.7891156462585034,PERSON,1.0
