% 1. Title: NERD ranker with basic and embeddings features 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 09-10-2018 11:15:16 
%
@RELATION @NERD_NERD_ranker_with_basic_and_embeddings_features 
@attribute prob_c REAL
@attribute relatedness REAL
@attribute context_quality REAL
@attribute ner_type {NotNER, PERSON, LOCATION, ORGANIZATION, ACRONYM, ANIMAL, ARTIFACT, BUSINESS, INSTITUTION, MEASURE, AWARD, CONCEPT, CONCEPTUAL, CREATION, EVENT, LEGAL, IDENTIFIER, INSTALLATION, MEDIA, NATIONAL, ORGANISATION, SUBSTANCE, PLANT, PERIOD, TITLE, PERSON_TYPE, WEBSITE, SPORT_TEAM, UNKNOWN}
@attribute bestCaseContext {false, true}
@attribute embeddings_centroid_similarity REAL
@attribute entity? REAL

@data
0.05825242718446602,0.29040003756742094,2.3674500979072737,NotNER,true,0.0,1.0
0.08909795240730492,0.08347167365890536,2.3674500979072737,NotNER,true,0.0,0.0
0.8904261206419479,0.2761309869276727,2.3674500979072737,NotNER,true,143.59795,1.0
0.08909795240730492,0.08347167365890536,2.3674500979072737,NotNER,true,90.03801,0.0
0.8882649479931083,0.0,1.7049322269973706,NotNER,false,0.0,1.0
0.45464654487688644,0.0,1.7049322269973706,NotNER,true,0.0,0.0
0.16984908657664813,0.0,1.7049322269973706,NotNER,true,0.0,1.0
0.12343129467831612,0.18418072951222958,1.7049322269973706,NotNER,true,0.0,0.0
0.9552511199070892,0.07692307692307693,3.24043212664611,NotNER,false,0.0,1.0
1.5406129269275438E-4,0.022419589765447563,3.24043212664611,NotNER,false,23.695883,0.0
